Employment Rate,Alcohol Consumption per adult (lt),Expend/student Primary,Expend/student Secondary,Expend/student Tertiary,CO2 Emissions per person (Mt Tons),Gender Equality Ratio,GDP per capita
,11.64,58.42884412,13.96837662,40.4416609,4.98,0.704,9652.97
,11.32,13.33839734,18.12223832,,8.26,,16110.44
64.12766739,9.6,7.14253,17.9727,,0.2,,894.7
62.126859,1.54,10.13503747,15.31310598,28.31365334,6.61,0.675,46121.18
50.25014287,,12.68632159,16.33823844,26.51161776,6.49,0.68,19772.6
54.91745145,15.06,27.6312046,24.94103305,23.61017135,8.01,0.696,25311.51
65.49947555,1.51,,,,0.38,,1907.12
65.65688489,0.5,,,,0.07,,943.04
38.60147806,9.8,14.37419555,18.11029838,,9.98,0.739,9326.34
,,,,,,,2795.62
49.8073722,11.72,18.70278912,23.79622123,22.62465768,6.54,0.74,27089.66
53.69570335,0.8,7.42718,,,0.6,0.728,4455.53
47.05699529,2.56,,,,0.39,,2781.16
44.22580353,6.32,,,,4.75,0.656,8310.93
51.85153982,5.37,11.71250784,33.39385526,323.6065908,0.91,,4652.7
60.12652763,9.8,23.81332336,28.55098761,44.24909354,4.98,0.811,33167.87
65.07976554,11.23,23.08536734,27.73806448,54.39454666,5.23,0.736,37497.32
45.00195815,1.46,13.82456335,18.50574238,,3.12,0.598,4505.02
53.94121703,,,,,10.95,,30273.36
50.1243,3.39,,,14.27457079,0.44,0.659,1729.41
80.91054139,7.28,21.45181,18.8383,873.25659,0.16,0.695,1261.41
72.228222,7.08,17.56289074,12.35111943,27.51926441,4.09,0.688,7774.89
65.99715949,0.8,27.58303415,,83.92033,0.17,0.686,2878.01
64.08561422,1.95,9.030155272,22.39950255,137.91096,0.25,,913.72
,3.85,9.868564437,7.973165968,,1.71,,4812.22
58.35883039,6.22,12.44769496,15.01639988,109.7012798,36.59,0.714,17897.48
41.17064105,1.16,16.13101675,23.0326794,58.21169984,2.43,0.627,7514.15
44.03219335,2.94,10.93593594,9.653763003,32.58523449,4.01,0.588,8512.08
58.78415052,4.81,,,,10.66,,6321.69
,,,,,4.36,,43171.66
,2.29,,,,,,5430.95
83.35644305,13.99,8.616522479,25.69403928,148.4632102,0.1,0.704,1225.91
52.61478441,16.51,,,33.72779176,6.57,0.685,6221.61
75.21403057,0.53,4.701847323,6.436519172,20.31945721,22.44,0.625,32642.5
59.25690531,13.3,17.4363727,26.1576953,26.41318917,7.86,0.742,31523.65
62.32675143,9.57,20.41832453,23.74038121,24.91581832,17.68,0.722,41411.27
56.72750091,8.55,7.594514579,8.847210641,18.31936,2.42,0.679,11704.37
55.70539611,3.57,,,,4.5,,2671.43
,0.94,14.09621116,57.77988953,165.3571781,0.52,,3987.42
56.18955251,7.91,8.545275634,8.234247293,,6.73,0.685,11119.81
71.72660591,3.84,19.35523,16.96893,60.62971,1.66,0.681,2759.44
29.96302367,,,,,0.54,,3190.69
38.72747432,,,,,,,2279.57
60.78563381,3.7,6.948857935,12.13600233,160.37991,0.16,0.629,1386.57
67.28498261,5.02,13.35088463,20.10424125,75.39536,0.72,0.652,453.51
